2015-06-17 17:24:57,947 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:24:57,950 [Thread-29:7884] [django.db.backends:91] [utils:execute] [DEBUG]- (0.002) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:25:01,940 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:25:01,946 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.002) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:25:01,984 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.030) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:25:01') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:25:01')
2015-06-17 17:25:01,986 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:25:01,990 [Thread-38:6704] [django.db.backends:91] [utils:execute] [DEBUG]- (0.002) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:25:03,634 [Thread-39:6680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:25:03,635 [Thread-39:6680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `app01_category`.`id`, `app01_category`.`name`, `app01_category`.`administrator_id`, `app01_category`.`message` FROM `app01_category`; args=()
2015-06-17 17:25:03,703 [Thread-39:6680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.064) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:25:03') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:25:03')
2015-06-17 17:25:03,710 [Thread-39:6680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:25:03,721 [Thread-39:6680] [django.db.backends:91] [utils:execute] [DEBUG]- (0.007) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`category_id` = 1; args=(1,)
2015-06-17 17:25:13,766 [Dummy-1:7208] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:25:13,841 [Dummy-1:7208] [django.db.backends:91] [utils:execute] [DEBUG]- (0.074) SHOW TABLES; args=None
2015-06-17 17:25:13,845 [Dummy-1:7208] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-06-17 17:27:18,588 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
